192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000998
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000998
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000998
98
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001995
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001995
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000999
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001976
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001976
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000995
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000995
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000995
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001996
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001996
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000998
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001995
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001993
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001995
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000997

